UTTERANCE,LABEL
Im gonna let you go first,0
sounds good uh my first one is an upside down running guy second one is a big triangle chested running guy third one is a large running guy kind of hunched forward and then the last one looks like a picasso person very crappy,0
okay got that,1
okay so i got a diamond missing out the shape i get the racer i got a boat and i got a tree,1
got it,1
hello,0
see it was you all along,0
the long its a long anyhoo footless duck  swimming flying bird thingy whatever this other bird is hes standing and then the last one is sideways,0
got that,1
got a hamburger i get an avalanche what is that and then that abraham lincoln oh its a windmill i couldnt think of the word,0
did you just skip the third one,0
yeah its the windmill i couldnt think of the name its a hammer avalanche wind mill and then abraham lincoln,0
got it,1
i got a very large standing man he looks like hes holding stuff like you just got fired and hes carrying all his stuff out guy with the book the guy laying on his stomach and then the guy trying to what he called the falling tumbling man that,0
okay got it,1
i see i got half a pine tree a apple and then the last one is an apple skip it,0
thats not very helpful,0
yeah you got a oh the second one got a bite out of it sorry,0
okay thank you i got,0
a tree a big letter b a vase and a boat,0
ok got that,1
lets see i got a dragon a rooster a serpent and the duck,0
i think i got it,1
i have a flying bird a weird standing bird a upside down flamingo and a dragon,0
okay got it,1
lets see i got a barn and some scissors a speedboat and a palm tree,0
got it,1
i have a dragon flying sideways and upside down vulture a dragon flying up and an upside down swan,0
okay so the first ones flying down the third one is flying up,0
okay i got that,1
you dont got that,0
okay i got a cake i got a house i got a triangle diamond and an avalanche,1
i got a boat looking thingie a candle without a flame a house and then what looks like a seal,0
got it,1
okay got sitting down ox a crab a giraffe and then a bunny,0
got it,1
we have a seal thats kinda laying on his face upside down vulture flamingo and then a seal on his stomach and by seal i mean the pokemon and not the actual animal,0
oh okay got it,1
okay i got a guy on one oot i got a woman holding out something i think thats the candle woman or care woman whether they call her then i got crab looking thing and then i get the woman holding the carrot standing up the second sideways i just noticed,0
got it,1
i have an upside down duck upside down flamingo regular flamingo and a vulture,0
okay got it,1
i got seal boat shark hammer,1
i have a giraffe a turtle a i dont know what that is i guess it could look like some sort of strange boat and then a big shape at the bottom lets call it a hot air balloon even though it doesnt look like that,0
okay got it,1
i gots the hummingbird flamingo flying bird and then the vulture raptor,0
