UTTERANCE,LABEL
got it,1
alright my  first one is the turkey then the swan the rubber duck and the last one is a turkey but his head is in the on the left side and the first one of his head is at the very top,0
my first one is a sailboat with the two sails on the left second is the pipe third is the arrow facing left and the last one is the vase,0
got it,0
alright my first one is the boat second is the hammer third one is the upright vase and the last one a sideways vase,1
alright my  first one is the over sized turkey second is the falcon third is upside down bird with his two feet in the air and then the crab,0
got it,0
first one is a speedboat going up second is the letter b third is the freight boat with the stack on the left side and my last one is the mountain with the cave,0
got it,1
hold on,0
my first one is the seal second is the bird with its wings spread apart then the crab and then a weird looking shape,0
yeah the last one a kind of weird it looks like it has a triangle on the left side kind of looks like a head you could say,0
got it,0
alright my first one is the boat with the two sails looks like second is the iron third is the upside down boat and then my last one is the sideways birthday cake,0
got it,1
our first one theres the corner of a picture frame second is the top hat third is the step and then the last is the construction sign facing right,1
got it,1
hang on,1
alright first one is the the lady in a dress with no arms second is the person kicking a soccer ball then the upside down person with the long sleeves and then looks like a little kid running as my last one,0
alright  my first one is the palm tree with the triangles in the bottom left then I have the boat then I have the bridge with the two arches and then a triangle,0
got it ,1
alright my first one is the crab then the camel looks like is second third is the bird  flying down the last one is the upside down bird,0
alright my first one is the mountain with the cave then the speed boat thats upright then the half a christmas tree and then a speedboat going down,1
got it,0
thats my fault my first one is the bunny laying down then the tornado then the the llama and the cat,0
got it,1
alright my first one is the the line of triangles second is the house with the chimney third is the one with the square on top and all the junk coming out the bottom and then the upside down boat,0
got it,0
the first one is a bird with this wings spread apart then the weird looking shape it was the last one on the last tangram then the zoomed in bird and then a flamingo,0
got it,0
can you hear me,0
oh hear we go got the rubber duck the oversized turkey the seal the giant x,0
got it,1
got the yacht the half christmas tree than a parallelogram with speckles in the upper right and bottom left and then apple,0
the speed boat is first and half a christmas tree a second,0
got it,1
my first one is the upside down man with the fat arms then the man that is going off screen then the man doing a front flip and then a rectangle body guy holding a triangle,0
got it,1
my first one is the weird looking sailboat with the trapezoid on the left and then half a rectangle at the very top then my second one is a sailboat with three triangles my next one is a sailboat with the one trapezoid or the parallelogram and to us on the right side and then the tail of triangles,1
yeah the first one is kind of like abstract and then does it really doesnt look like anything without a thought people were calling it a sailboat then my second one is a sailboat with the three triangles and now my third one has trapezoid and the parallelogram kinda looks like a sailboat if you turn your head to the right thats my third one,0
got it,1
have the man with the long arms lady with no no arms and the dress then I have the person looks like hes walking and he has fat arms and then the rectangle body guy,0
got it,1
okay my first one is the x my second is a llama than it had the dog and then I have the cat or the fox,0
got it,1
my first one is the pipe then I have the mountain with a cave then the palm tree and then the steamboat with a stack in the honor in the meadow,0
the first one is the arrow going up then the arrow going down then the weird looking pokemon shape and then a cat on its hind legs,0
got it,0
I have the mountain with the cave first then the second one is the one with the point at the very top in the vase and then the crab or yeah the crab,0
so the first the first sailboat is regular,0
got it,1
first one is the flamingo second is upside down duck third is abstract and then the upside down swan,0
got it,1
first one I have the corner of the picture frame then the arrow going right then a sideways sailboat then hammer,0
flip those two,1
my first one is the christmas tree then the tall vase but with a rectangle at the bottom and then a weird looking parallelogram with the speckles,0
got it,1
upside down sailboat the house with the chimney seal then a triangle with the looks like an m cut out,0
I got the seal the skinnier upside down vulture then the fat upside down vulture and then the the bigger road runner,0
I got the square body guy then I have the lady in a dress with no arms the guy with the long arms ist third and then the guy slipping on a banana peel is last,0
got it,1
got it,1
first one is the kid running my next one is the guy with the long sleeve short fat arms and then the guy doing the front flip and then the guy in the fetal position,1
got it,1
first one is the fat vulture than a rubber duck then the turkey facing up and then the bird with two feet facing down,0
got it,1
got the guy on a bike a little kid fetal position and then the guy holding a triangle,1
first one I got the whale then I got the weird looking shape the dog has a square nose and they one triangle leg in front and into the back then the arrow facing down then a bunny laying down,0
got it,1
first one is the letter b and then the vase the sailboat then the cat looking head,1
got it,0
first one is the one with the arrow going up then I have the the bridge then the boat with the little point in the middle and then the saw,1
got it,0
first one is the weird looking monster or the boat second is the lhama the third is the rat and then my last one is the rocket ship flying down,1
got it,1
my first one is the parallelogram second is the wide vase then third is the skinny vase then my last one is a sailboat,1
got it,1
my first one is a dog with his head his head is at the bottom the bottom second is the real looking dog with two pointy legs third is the dog the regular dog upright and then the last one is a weird looking dog with like a it has three legs three triangles for legs,1
got it,0
the first one is the big giant square second is the candle third is the cat with the speckles and my last one is a cat on its hind legs ,1
got it,0
first one is the rocket ship flying down second is a squirrel third is the weird looking dog with the three triangles for its legs then last is a turtle ,1
first one is the triangle second is the palm tree or the sword with the handle in the upper the top left second is a speedboat third is I mean last third is the speedboat last is the pipe,1
got it,1
yeah and then his tail was like a parallelogram and its going straight up,0
got it,1
first one is the rocket ship go flake flying right then the cat on his hind legs then the weird looking dog with a square head and then the one with the arrow facing down,0
got it,1
okay my first one is the the house with the long chimney the second is the sailboat third is the thumbtack and my last one is the house with the tree on her left,1
first one is the the boot looking thing then the seal the upside down candle and the upside down bird,1
my first is a christmas tree then the pair of scissors the trapezoid and then the vase,1
first ones the vulture second is the bird with his wings spread apart third is the upside down duck with two feet and then the last one is upside down swan,1
got it,1
got the hammer the house the double sided arrow and then the sailboat,1
got it,1
first one is the abstract looking shape then the llama then the squirrel or the rat and then the giant x,1
first one is the steamboat second one is the steamboat but it has the giant or the skinny stack on the on the right side then I have the apple then i have the yacht,1
got it,1
first one is the bird with a triangle wings then I have the flamingo then the giant x and then a triangle body bird,0
got it,1
got it,0
my first one is the triangle with the junk coming out of the left then I have the house and then it kind of looks like a boot or a house with the roof at the top of the steps going up and then I have the sailboat,1
first one is a sideways swan then I have the vulture or the falcon then the upside down swan and then a snake,0
got it,1
first one is abstract then I have the snake then I have the x and then I have the dog,0
got it,1
first one is the shark or shark fin and then I have the praying mantis or kangaroo then the weird looking dog with the square snout square nose then the llama,0
got it,1
the first one is the upside down dog or kind of upside down dog then i have the man with the long arms then i have the man holding the triangle looks like hes i dont know a guy i mean then then the arrow going down,0
got it,1
I have the triangle with the top cut off then I have the apple sailboat and then looks like a looks like cats ears,0
got it,1
first one is the one with the arrow facing up then I have the crab the yacht and the apple,0
got it,1
first one is the iceberg looking thing with the point at the very top then I have this sword with the handle at the bottom and it have the scissors then I have a sword with this the handle in the upper left,1
got it,0
got it,1
my first one is the is the dog and he  has his head at the very bottom then I have the weird looking dog with two triangle feet for his hind legs and just one in front and he has a long tail then I have the x looking shape and on my last one is the dog with the square snout or square nose,0
I got the giant nine or the semi colon upside down windmill the iron and the upside down mountain,0
