UTTERANCE,LABEL
I have a hoofprint a sailboat upside down a house with a tree and then sideways sailboat,0
got it,1
I have a houseboat a sailboat um an indian guy and triangles,0
got it,1
I dont know if its my turn or not,0
got it,1
I have a sideways flamingo um a sideways chicken a sideways duck and a crab,0
got it,1
I have a unicorn looking thing a fish um an upside down guy wearing a triangle hat and a dog looking back,0
some people say this is a dog with its head cut off,0
yeah my first one I say a unicorn or donkey thing people say ram than a fish and then the triangle guy and then the dog with its head cut off its like I dont know I dont know how to describe it its like its neck its super long and that its cut off and then its tail is like a little square thing,0
yeah I forgot that people call it that,0
got it,1
I have a dog running down a bunny a donkey unicorn looking thing again and a whale,0
got it,1
I have a mountain triangle square triangle with shape cut out two triangles cut out of it and then a plant,0
got it,1
I have a palm tree triangles speed boat and then a sailboat,0
a hoo why did I say a hoo a palm tree a triangle a speed boat and a sailboat,0
got it,1
I have a chicken an upside down chicken I have a duck I have a flying bird and a rooster,0
yes,0
I have an upside down server I have a handkerchief lady sideways that guy falling out of the plane and then I have regular handkerchief lady,0
got it,1
I got it but I dint know how you see dog for that last one,0
thats pushing it but Im done,1
I have a dog running down I have dog with its mouth open the square nose facing the left and they have another dog acing the let to put his ears are up and then a rocketship,0
got it,1
dog that cat a llama looking thing and a cat sitting down and has spots in it,1
got it,1
I have guy reading a book hes lying down I have guy walking downward guy kicking and cry,1
the first two can you repeat those a smaller one on top for the second one,0
ok got it,1
I have a boat tetris um another boat with one sail and a house my speakers stuck,1
oh okay,1
whoops um okay i hae a pacman looking guy with a bunch o other unnecessary shapes and then a guy reading a book looking down salsa dancing girl and triangle guy,0
got it,1
I have an upside down submarine kinda looks like the loch ness monster um a skinny grow fatter crow and a swan,0
got it,1
I have my code I dont know to describe this one ever shes the woman going up for it and a dress I think people are lady in a dress am the server guy the guy taking a big step and then the guy walking upright hold on,0
did you get all that,0
I got it ,1
oh my god mine are in the same order,0
I have a teapot a windmill an iron and a mountain,0
got it,1
I have a flamingo um a road runner chicken thing with a tail a duck and a turtle,0
got it,1
I have a ram a fish um the guy I call him an upside down guy with the triangle hat on but some people call a fish the arrow fish pointing down and then a dog with its head cut off,0
got it,1
I have a dog um a bunny a ram and an upside down whale,0
I got it,1
I have a mountain a triangle square regular triangle with an m cut out and then a plant,0
I have a palm tree a triangle a speedboat and a sailboat,0
got it,1
I have a chicken ok I have an upside down chicken with a tail I have an upside down duck I have sideways flying bird and I have a rooster,0
got it,1
I have an upside down server I have a sideways um lady in a dress like handkerchief lady or whatever falling and then regular um handkerchief lady,0
got it,1
I have a cat a bunny a turtle and that line with shapes coming out of it,0
got it,1
I have a baseball home plate um a slope a stove and then a boat,1
got it,1
I have a christmas tree um parallelogram facing up I guess um a boat and then a pot,0
Im confused can you repeat that,0
ok I got it,1
i have a big bird like a huge bird and then a vulture facing upward an upside down duck and a lochness sea monster,0
got it,1
i have a big chicken um an upside down flamingo a lochness sea monster or a submarine and a flying bird,0
got it,1
I have um the shark head thing a sideways sail boat an upside down boat with a square oh and then a sideways sailboat with three sails the second one only has two sails,0
got it,1
I have a flying bird once again I have an upside down flamingo I have a sideways flamingo and I have the sea monster,0
got it,1
I have a pot a shark a sideways pot and house,0
I have a shark as you call it um a sea monster a ram and a rocket ship,1
got it,0
got it,1
I have a dog with his ears and up in the air hes looking down um I have another dog kind of looks like a fox with a pointy head he looks like hes like half in the air half down and his tails super long his nose his face in the top left I have a square with like four things coming out of the corners of it and then I have another square with four things coming out of the edges but theyre not technically on the corners,0
yes his tail is facing upward and his face is facing down,0
is the feather the triangles,0
got it,1
I have a tea kettle a windmill an iron and an upside down mountain,0
got it,1
I have a flamingo I have a chicken I have a duck and then I have that square with four things coming out of the corners,0
hold on,0
dont know if I got that right nope ok I have um it kind of looks like a donkey maybe with a hat on um it has two triangles facing down its kind of slanted in the air a little bit then I have a fish and then I have an upside down guy with a hat on triangle hat on and then I have a weird um dog looking back maybe,0
as youre flying bird is the dragon the bigger like flying bird,0
got it ,1
I have a dog running down and a bunny I have some weird shape thing and then I have an upside down whale,0
got it,1
I have an upside down mountain triangle square a triangle with parts cut out of it and then a cactus plant looking thing,1
to clarify you have rocket ship big sailboat weird shapes and then triangle square,0
okay,1
I have palm tree triangle speed boat and then sail boat,0
got it,1
I have an upside down chicken I have an upside down duck with two feet I have a sideways bird flying and then I have a rooster,0
got it,1
I have a guy that looks like hes upside down he looks like a waitor he has a triangle in his hand then I have this blob with a diamond and triangle with a diamond to the left then I have the skydiving guy and then I have that blob thing again with two shapes in the um diamond square looking thing is at the top I dont know,0
okay Ill change mine,0
boat and then triangle,0
ok got it,1
I have a cat I have a bunny I have a turtle and then I have a weird shape looking thing,0
um whats your third one,0
okay got it,1
I have a baseball home plate I have a slope I have a shape that kind of looks like a bee and then I have a boat,0
got it,1
I have a half cut christmas tree I have a parallelogram facing up I have a boat and then i have a pot,0
was your hold on ,0
got it,1
I have a weird big looks like a massive bird um then I have a crow and then I have an upside down duck and then I have an upside down sea monster,0
um you kinda lost me through all that,0
okay I see what youre saying now got it,1
I have a looks like a huge chicken a sideways huge chicken I mean and then I have an upside down flamingo and then an upside down blob with half of the square facing the left and then I have a big flying bird,0
I have an upside down or would you call it a hammerhead shark or something I dont know a sideways sailboat an upside down boat and then a sideways sailboat again with three sails,0
got it,1
or not I have three shapes with spaces in between them an arrow an indian guy and I dont know what the shape is an upside down weird looking thing with its beak facing the left,0
Im sorry I couldnt hear you,0
got it,1
I have it looks like a stem with thorns facing out of it um this weird creature looking thing with its nose facing the left and it has like two wings kind of looks like a flying dog um a squirrel and then a cat,0
got it,1
got it,1
I have a cat um a bear a llama and a rocket ship,0
can you repeat your first two,0
got it,1
I have a duck with two feet a seal a flamingo and the monster,1
all right,1
I have a cave scissors sailboat pipe,1
got it,1
I have a kangaroo a crab a square and a turtle,0
got it,1
cave boat triangle spider,0
can you repeat that,1
I have triangle guy running I have weird shapes um my third one is arrowhead guy the last one is a server,0
is the fish or the monster first,0
okay got it,1
I have a boat parallelogram a c and a cave with two doors,1
got it,1
got it,1
I have a cat a sailboat or the face of a cat sailboat um speedboat and then a vase,0
got it,1
I have I dont know I forget what Mark called this thing um the thing with a square attached to it and its facing up and then house farmhouse and then upside down turtle and then the other thing that I dont know what to call it and the squares facing the right,0
got it,1
handkerchief lady server guy running with his arms behind him and then triangle person dancing,0
Im not seeing any of that,0
all right,1
boat pipe um diamond cat,1
Im not seeing what you said,0
im looking at a unicorn ram thing on its leg and then weird thing with a flat nose facing the left with two wings or could be a front paw and tail um a fish and then a little like crazy looking dog with no ears or something,0
okay the third one is that your second one,0
woman in a dress guy walking down woman on her knees and then guy riding a bike,0
got it,1
I have half a christmas tree um snowman sailboat and a bridge,0
got it,1
I have a dragon a seal an upside down flamingo and a rooster,0
got it,1
I have an arrow I have a seal I have a boat and I have like an avalanche of shapes,0
I have a dog I guess I dont oh god this can be terrible maybe you should explain this,0
is the last one like kind of like a line and then shapes coming out of the line,0
okay got it,1
I have like a whale I guess a submarine a bunny and upside down indian guy,0
I have a parallelogram um a diamond looking thing a boat like a houseboat and then a sailboat,0
got it,1
sorry I have a candle thats not lit I have tetris a christmas tree and an arrow,0
um I have a desk a candle a boat and a house,0
got it,1
I have a house a boat okay I have a house a boat sideways house and a pot,0
got it,1
I have a crab a swan a big duck thats flying to the bottom right corner and then a big dragon flying upward,0
um can you repeat that,0
got it,1
this will be fun so I have weird shape with two triangles pointing to the right and then I have it kind of looks like a bong um like a like a hookah or something I dont know and then a boat and then a pipe,1
got it,1
I have weird lady wearing a dress I think is what you called her guy kicking arrowhead guy and then upside down server,1
got it,1
I have a bird flying to the bottom right corner I have an upside down chicken I have a bird flying to the top left corner then I have an upside down bird,1
got it,1
I have a coat hanger I guess a candle an axe and a speed boat,0
I have a seal a rooster a chicken and a sea monster,1
got it,1
i have a it looks like a unicorn a dog a submarine and a fish,0
got it,1
I have a girl running like Tina I have a guy walking down I have weird lady wearing a dress and then I have guy racing a car,0
can you repeat that,0
got it,0
I have a hoof print an upside down sailboat a house and a sideways sailboat,0
got it,1
I have a houseboat a sailboat an indian and triangles,0
I have I dont know what this thing is I guess it kind of looks like okay well save that for the last one okay I have a dog with its hind leg up like hes peeing a sideways cat a square with another square comming out of it and then the last shape,0
got it,1
I have a duck sitting a flamingo a crab and a dragon hummingbird,0
got it,1
have a duck sitting upside down I have a flying bird I have a hummingbird and have an upside down swan,0
got it,1
I have a candle a bow an arrow and a sailboat,0
a sideways sailboat,0
I have a bunch of falling shapes I have a triangle square a rocket ship and I have a boat,0
got it,1
I have a house okay I have a house a seal looking thing with a square on the right a triangle with an em cut out and an narrow,0
got it,1
I have a duck sitting without legs I have a big flying bird with no wings and one triangle foot and then I have a hummingbird a big hummingbird and then I have a crab,0
got it,1
I have an apple a parallelogram a boat and a triangle,0
Im sorry can you repeat that,0
okay I got it,1
I have a dog running down dog with it his mouth opened and then I have a dog with his head facing the left and his ears perked up and then a rocket ship,0
I have a dog facing the right I have a cat facing up I have it looks like a llama without the leg humps of it like the bumps of it I guess and then a cat sitting down or a fox,0
I have a guy with a book in his hand hes lying on his stomach I have guy walking downward I have guy with his leg in the air and I have the arrow headed guy,0
I have a boat with three sails tetris a boat with one sail and a sideways house with a chimney,0
got it,1
I have weird shapes kind of like a Pac Man with the more extra shapes guy reading a book facing down girl salsa dancing and guy running up,0
got it,1
I have upside down loch ness monster I have crows facing upward and and his feet are facing the right and then another crow hes bigger his feet are facing the left and then a swan,0
I have a square with another square coming out I have a fish swimming down a fish swimming up with its mouth open and a sitting cat,0
got it,1
I have a girl in a dress I guess um her feet are facing the right and then my second one is the server with his butt out and then my third one is the big guy taking a huge step and then my last guy hes walking up,0
got it,1
I have guy running to the bottom left corner I have guy laying down in a coffin and I have a girl with a handkerchief I guess and then I have a guy walking his dog,0
I have big triangle guy upside down triangle guy girl in a dress and then guy in um fetal position,0
got it,1
I have triangle square um looks like a little shack with a roof on top and acts and then a desk,0
I have unicorn weird thing thats a hunch on its back and its tail sticking up a fish a dog,0
I have an arrow I have a c and then I have a bridge and then I have a weird shape looking thing,0
got it,1
I have it looks like a stem of a rose has like two triangles coming out of it um a fish swimming down a cat and then an arrow pointing down with like a square on top,0
got it,1
Ive a guy crunched over in fetal possition and then I have I dont even it looks like a little kid playing in a sandbox if you look at it sideways and then an upside down server and then a guy walking his dog,0
I have a bow an upside down mountain a coat rack hanger and a sideways sailboat,1
got it,1
I have a sideways sailboat a triangle um a were triangle to triangle shape guy I dont know what it is and then a spider,0
got it,1
I have a palm tree with the biggest leaf facing the bottom right corner I have another palm tree with the biggest leaf facing the top right corner parallelogram and a boat,0
I have a bridge um the weird shaped thing thats not sideways and has a little door cut out in and then I have the weird shape thing that is sideways with the door cut out and then the apple,0
oh those first chair I need to think of something different,0
got it,0
I clicked done but I dont know whats happening,1
okay I have triangle square iron christmas tree and indian guy,0
I have a house and a chimney a triangle and a square where three shape thing and a rocketship,0
got it,1
I have a sideways sailboat a sideways pipe a c and a triangle,0
got it,1
I have a crab looks like a unicorn pony horse looking thing a bunny and then the thing on its hind legs kind of looks like little fox squirrel looking guy,0
Im sorry I have I have crab here just repeat,0
ok I think I got it,1
okay I have like it looks like a square with a little triangle at the bottom um a fish swimming down the horse pony looking thing and then another horse pony looking thing but its nose is facing the right,0
got it,1
I have a boat with a triangle coming out of it I have weird triangle guy I have sideways triangle and then I have a speedboat,0
got it,1
I have a boat sideways christmas tree speedboat and then palm tree with longest leaf facing the right,0
got it,1
I have weird shape looking thing a pony looking thing kind of looks like a dog I dont know um a fish and a loch ness monster thing,0
got it,1
I have big guy running upward um I have I dont know what this is like as a square had a triangle like chin I dont know I dont know what it is and then guy with an arrowhead and then server guy with a big butt,0
Ben we almost got a hundred,0
okay I have I kinda looks like a submarine um with a square facing the right and then I have a sideways one and its facing the squares facing downward and then I have this weird bug balloon like hot air balloon and then I have a kangaroo,0
got it,1
I have sea monster upside down flamingo flying bird and a swan,0
got it,0
I got it,1
sorry it wouldnt let my thing click ok I have a triangle and a square an iron a christmas tree and a Native American guy,0
I got it,1
I have a house with like a little barn house triangle square um three shapes with space in between them and then a rocket ship,0
I got it,1
I have a boat with two sails I have a pipe I have a c and I have a triangle,0
got it,1
I have a crab a unicorn ram I a bunny and then a squirrel on its hind legs,0
a crab and the rams slash unicorn,0
got it,1
I have the stingray thing the fish swimming down the ram and then okay hold on the ram the third one is the ram with the top of its head thing and it has the bigger butt and then the last one has the smaller tail,0
I didnt see a squirrel but I appreciate your thoughts on how about the one my third one his nose is facing the left and my last one his nose is facing the right,0
I got it,1
I have a boat with a little triangle coming out I have a triangle guy I have a triangle facing the left and then I have a speedboat,0
got it,1
I have a boat with a house on it I have half a christmas tree a speedboat and a palm tree and its not letting me click off,0
got it,1
I have a stingray a ram a fish and a loch ness monster,0
got it,1
I have a guy with big step piece huge shes about to make the biggest step of his life and then a girl with a handkerchief arrowhead guy and server guy,0
got  it,1
I have a submarine thats regular I have a sideways submarine thats facing downward I have a stingray and I have a kangaroo,0
got it,1
I have loch ness monster upsidedown flamingo hummingbird swan,0
okay got it,1
submarine stingray bunny um triangle hot guy,0
got it,1
diamond lookin thing thats not actually a diamond a sailboat and then houseboat and then parallelogram,0
got it,1
slope pot microscope triangle facing the left,0
got it got it,1
tetris christmas tree arrow candle,0
tetris christmas tree arrows and a candle,0
I clicked done I dont know its happening,1
got it,1
house boat desk candle,0
a whale is perfect good job,1
I have a house a boat I have a sideways house and then a pot,0
got it,1
swan hummingbird crab big flying bird to the bottom right corner,0
can you repeat that,0
all right i got it,0
got it it wasnt letting me   click speak,1
I have a sailboat with two sails Im i have a triangle and then I have another sailboat with two triangles coming out of it I wouldnt necessarily call themselves and then a spider,0
got it,1
I have a windmill with an r palm tree with the longest leaf face in the bottom right corner and then I have another one with the leaf facing the top right corner and I have a parallelogram and the boat,0
ok I think I got it,1
