UTTERANCE,LABEL
yo I got the speedboat sailboat sea mountain cave,0
I got it,0
all right ive got the guy like ice skating looking like first and then the upside down small splits guy and then the weird thing with a parallelogram on the left and then the big triangle body guy,1
I got b and then the thing with the coconuts in the corners then the weird sailboat and the pine tree,0
I got the fat road runner looking down fat road runner looking left turkey looking down and rubber ducky,0
done,1
we got some weird monk I got some weird monk dude I got front flip dude I got no legs holding a triangle dude and then that last guy,1
got it,1
all right um vase pine tree bee boat,0
got it,1
I got the weird flying bird with the triangle wings the upside down flamingo road runner turkey,1
got it,1
not remembering yours um upside down swan raven um flying bird with the head in the bottom right and then flying bird with the head in the top right,1
Im counting the triangle as its head,1
maybe youre thinking thats the tail,0
all I got was a house with a chinmey go ahead repeat that please,1
got it,1
all right i gotcha,0
Ive got the crow the weird like pelican slash flamingo thing its got the wing on the left side its more like vertical up and down and then the upside down duck and then the last one is the other pelican thing but its more like horizontal,1
I got this seal the boat the shark with a square head then the hammer,0
seal then boat,1
done,1
alright Ive got the flying bird that we had a mishap with and then the pelican and then the turkey and then the roadrunner,0
Ive got chemo sabi um indian guy and the arrowss and then the sideways sailboat that weird in the sideways sailboat with just two triangle sails,0
got it,0
I got um awkward triangle body dude its like really big triangle body and then some weird like monk dude or something and then Slip n Slide guy and then guy running up the wall,0
I got the,0
alrighty,1
Ive got the like little hoofprint thingy the spool the hammer abe lincoln,0
now its ok Ill excuse you this time Ive got the hoofprint then the spool then the hammer then the Lincoln,0
got it,1
Ive got the rooster the pelican the big turkey the weird loch ness,1
rubber duck I got rubber ducky uh roadrunner pelican x,0
gotcha,1
um doggy lookin left with the triangle ear um weird extremely boxy sort of looking dog thing then the fox then the rat,0
uh rubber ducky turkey wrote the first rubber ducky looking up then the turkey then the rubber ducky upside down looking left than that or a small turkey looking left is last,1
all I heard was a sombrero and a lobster crab,0
alright,0
you said cave sideways second you said cave then cave sideways,0
um ive got the weird dog with no head its like a square tail and then the rabbit and then the squirrel and then the weird like ram ,0
got the flying bird Ive got this skinny crow looking up and then I got skinny crow upside down looking left and then Ive got the turkey looking up,0
got it,1
lying rabbit sitting rabbit weird monster and then weird dog on its hind legs with like a weird square snout,0
big turkey Loch Ness monster seal x,0
all right i got it,0
yeah let two overlapping triangles going down i got a rocket going to the right ive got the dog looking left with a snare uh snare uh the square snout and then the um fox,0
Ive got waiter dude holding the triangle upside down person praying or whatever reading a book um splits guy big triangle dude guy,0
got it,0
pipe comb mountain cave and then the spike,0
flying bird seal crane rooster,0
got it,1
Ive got arrow to the right seal sailboat avalanche,0
I got square snout dog looking left sitting on its back legs kinda Ive got one with like the cat in the tree sorta looking thing and then I got square snout dog with four legs looking right and then I got a square snout dog with its front feet up in the air yep,0
sorry I was getting a query can you repeat those,0
I got it I think you said fish,1
alright um ive got the bird looking to the right with a big triangle back ive got the flying bird ive got the upside down rubber duck and then ive got the pelican flamingo thing,0
um the bird looking right with a big triangle back the flying bird the rubber duck and then the pelican,1
got it,0
got the big turkey got the big turkey looking up the crow the little turkey upside down looking right and then the last ones another turkey looking down,1
yup Ive got the two like double sided arrow up and down the Eiffel Tower and then all the shapes coming off the triangle in the arrow to the right,1
gotcha,1
alright got the upside down flamingo turkey facing left seal and x,0
sorry can you say the first two again,0
gotcha,1
all right got the snake with the head at the top then the x then the snake with a head on the right and then the upside down like roadrunner thing,1
gotcha,1
got the flying bird with the triangle wings the x the rubber ducky in the one like a big flat sign on the left,0
um with the first two sailboats the is the first one right side up with three triangles and then the second one the trapezoid on the side or is it that I have a flipped,0
all right i got you,1
all right ive got the bird looking to the right with the big triangle back then the swan then the a road runner and then the roosters last,0
gotcha,1
all right ive got the square nosed dog at first its got like one skinny front leg and then kind of fat back leg and then the second one has the big flat side on the left looks really weird and then the third one is another um square headed dog its got like one triangle front leg two hind legs and then the x is last,0
gotcha,1
Ive got the letter c first the boat going up the ramp and then the like spike,0
got it,1
got it,1
