UTTERANCE,LABEL
gotcha,1
someone who is like the first picture someone who is like off the screen holding it looks like a bowl a triangle bowl sent in that I have a triangle guy whose legs spread apart his head is in the bottom left or bottom right corner sorry and then I have a triangle guy who is also completely upside down and then I have a person whos like bending over it looks like they have a tail holding a handkerchief and our heads in the bottom left corner,0
I have a ram a weird whale and then a laying down fox and laying down bunny,0
got it,0
I have a crab I have a bird with long tail I have a flamingo and then I have a bird with a weird neck,1
got it,1
I have a boat a pipe an arrow and a vase,1
got it,1
I have a houseboat a hammer a vase the regular way and a vase sideways,1
I have a really big flying bird a skinny crow a duck with two legs and a crab,0
yeah I have a big flying bird a skinny crow a duck with two feet and a crab,0
okay I have a speed boat and then I have this weird shape Ive no idea what it is but theres a white diamond in the middle of it cut out and then I have a boat with an arrow on it and then I have this weird job it looks kind of like the outline of a home or something with like a door missing a question mark,1
I have a seal I have a bird with big triangle wings and then I have a Im a crab and then a flamingo looking backwards,0
done,1
I have a sailboat an iron an upside down boat with like just a rectangle on the end then a birthday cake,1
okay I have this unfinished desk thing I have Abraham Lincoln I have um it looks kind of like a chair or something like the shape of someone if they were doing a wall sit and an arrow pointing to the right ,0
could you repeat that please,0
got it,1
I have a lumpy woman running down a person kicking a football upside down person with their arms reached out and then the dog person,0
got it,1
I have a palm tree a big boat a bridge with two cut outs and then a triangle,0
got it,1
I have the crab the bird with the weird neck I have a flying bird going down and then a bird with a long tail whos upside down,0
I have a cliff the cut out a boat half a christmas tree and then a boat going down facing down the second boat is facing the right,0
Ill repeat those um I have the cliff with the cut out a speedboat going to the right um half a christmas tree and then a speedboat going down,1
I started talking without hitting this button Im an idiot i have a bunny laying down a whale had it seems like a whale or a tornado and alpaca facing up and then a fox sitting,0
heard,1
Ive got triangles going to left a house with a chimney and like upside down plant or a seal with a box on its head and then an upside down boat,0
got it,1
I have a bird with big triangle arms an upside down flamingo of the bird with the triangle a foot in the sideways flamingo,1
i i have like the sideways air force symbol kind of an upside down sailboat the house and then a sideways sailboat,0
okay then this year footprint print and my Airforce Symbol,0
I told you didnt need me to repeat it sorry as I was listening to something my but thats what I have,1
gotcha,1
a house boat upside down sailboat the upside down indian and then triangle going to the left,0
Ive like a whale and then I have a dog facing the right then I have a fox and then a stingray or like the baseball field,1
got it,1
have a duck no legs a flamingo a crab and then a bird with really big wings,0
got it,1
I have a duck an upside down duck a bird flying down a bird with really big triangle wings and then upside down swan,0
I have the birthday cake sailboat arrow and then sideways sailboat,0
got it,1
I have an avalanche the triangle with the square the rocket ship and then a sailboat,0
I have a house flowerpot triangle with a piece missing and then the arrow like a chevron thing,0
got it,1
I have a duck no legs flying bird bird with really big wings and then a crab,0
okay sorry I was answering a query soyou have the upside down big person and then the girl with a handkerchief um facing the right direction and then the one facing down and then the running person going down,0
okay I have an apple parallelogram a houseboat and then a triangle,0
I have the dog facing down a weird dog facing the left with like it looks a little bit like a terrier with like a really really weird pointy tail and then I have another dog running to the left and then I have a fish going up but this the third dog has like a triangle ear,1
the one going down is first and then I have the terrier going to the left and then I have a dog with the pointy ear going to the left as the third one,0
have a terrier going to the right a fox standing an alpaca and then a laying down fox,0
got it,1
have a guy ringing a bell a square body guy someone kicking a football and then the triangle or the arrowhead,0
got it,1
I have a sailboat with three sails like a chair thing and then I have a sailboat with one sail and then a really weird shape,1
yep,0
got it,1
okay I have Im having like the worst headache right here I have some person kneeling a person wringing a bell the girl doing the salsa a square triangle triangle guy running up,0
got it,1
I have the upside down at loch ness monster a skinny crow and then a fat crow and then a swan,0
got it,1
a baseball field a fish going down a regular looking fish and then a laying down fox,0
got it yeah I see the house,1
I have a lumpy woman and then I have I like a server or like whenever I yeah a server and then I have like a guy taking the whole picture going upwards and that a square body guy,0
got it,1
I have a triangle guy with his head and the bottom right corner I have a guy just standing there I have a woman with a handkerchief and then the animal dude weird animal hybrid guy,0
the last one looked like a wiener dog,1
ok got it,0
to,0
whats,0
all right i have a flying bird i have a chicken with a long tail i have a really big like a bird with big triangle wings and then i have a swan,0
got it,0
I have a pipe i have a speedboat going down a speedboat going up and then a bridge,1
I have a triangle with an m cut out I have a sailboat I have an Eiffel Tower and then I have a home with like a tree,0
yeah I have a triangle with an m cut out I have a sailboat the Eiffel Tower and then a home with a tree next to it,0
I have a seal a seal a duck a skinny crow in a bird with two big wings,0
got it,0
I have a palm tree a bitten out of apple and then a whole apple and then a rhombus thing shape,1
got it,1
