UTTERANCE,LABEL
got it,1
alright my first one is the like cave looking thing thats like rotated sideways second one is the arrow third one is the bridge and the fourth one is the letter c,1
I think the buttons stuck just give it a second,1
okay my first one is the rocket ship then the bunny  then the cartoon character looking thing and then the rocket ship a rocket ship flying up is the bottom one flight rocket ship flying down to the top one,0
yeah I think I got it,1
right the first one is the house in between the two arrows then the rat then the alpaca or the llama and then the upside down whale,1
um which one was the guy holding the briefcase,0
okay all right i got it,1
alright my first one is the vulture my second one is the bird with its wings spread and third one is the like upside down abstract word and the fourth one is the upside down turkey,0
got iy,1
okay first one is the sideways turkey the second one is the x the third one is the weird triangle thing and then the fourth one is the upside down road runner,1
yeah I got it,0
first one is the house with no windows then the vase then the sailboat and then the upside down little steamboat,1
got it,1
first one is the big turkey and then the second one is the regular size turkey and then the third one is the crane and then the fourth one is the bird with its wings spread,1
got it,0
all right my first one is the weird dog looking thing with the two parallelograms on the same diagonal line then the second one is the dog like reeling its head back and its tail is square and the third one is the bunny and on the fourth one is the rat,1
got it,1
one is the bird with its wings spread the second is the vulture with its head pointing up the second one is the upside down or a third one is the upside down vulture and in the fourth one is the turkey,1
got it,1
alright first when the bunny laying down second and the bunny sitting up a third as the misshapen loch ness monster and the fourth one is the cartoon character,1
got it,1
first one is the giant turkey second is the loch ness monster third is the seal and fourth is the crab,1
got it,1
first ones the crab second is the triangle like pyramid beast I dont know what its called the third is the bird with its wings spread and the fourth is the turkey,0
yeah it kind of looks like a squirrel,0
al right got it,1
alright my first one is the two triangles like inside of each other going downwards with the square on top a second one is the rocket ship flying to the right third one is some kind of weird thing in the fourth one is the cat,1
oh,0
alright first one is the parallelogramor the trapezoid with the little triangle on  it a second one its the speed boat third is the christmas tree with a house on top and the fourth one is the triangle,1
got it,1
first one second,0
first one is the speed boat second one is the upside down palm tree third is the saw blade and fourth is the steamboat,0
all right i got it and your mike is like really quiet,0
still really quiet,1
got it and it still sounds the same just like scream,0
all right i got the sideways weird loch ness monster then the duck with no legs then the weird loch ness monster and then the bird with its wings spread,0
uh which ones a raptor and which ones a falcon,0
alright got it,0
all right i got the loch ness monster then the squirrel then the dog and then the airplane thing,0
got it,0
all right i got the sideways windmill then the sailboat then the vase and then the hammer,0
got it,1
all right i got the vulture than the upside down turkey then the hummingbird and then the loch ness monster,0
got it,1
alright my first ones the seal then the um sorry I I guess the second one has like a right triangle in the bottom right hand corner and then the second one has the right triangle in the top left corner and then the bottom one is the loch ness monster,0
I think you are doing a query so Ill just repeat it the first one is the seal second one is the x with the right triangle sort of thing in the bottom right hand corner and then the third one is the x with the triangles sort of thing in the top left corner and then the last ones the loch ness monster looking thing,1
got it,1
all right my first one is the flamingo then the bird with its wings spread then the seal and then the rooster,0
got it twenty four hundred feet oh whoops,0
all right i got the x then the road runner then the turkey and then the duck,1
got it,0
first one is the hummingbird then the flamingo then the rooster then the seal,1
got it,0
alright I got the fox then the dog with four legs then the stingray then the camel,0
got it,0
I got the parallelogram the sailboat the apple then the bridge,0
got it,1
I got the skinny guy holding the triangle than the square body guy than the woman in a dress than the guy with long sleeves,1
got it,1
I got the letter c the barge the vase then the b,0
got it,1
all right i got the dog then the rocket ship then the squirrel and then the weird other shape,0
got it,0
are they up to form a triangle body than arrow then woman dancing and then triangle guy running up,1
got it,0
I got the number nine then the thumbtack then the arrow then the tree,1
got it,0
alright oh one second,0
I got the cat then the bunny then the dog with two front legs and one back leg and then the weird other shape,0
all right first ones a crab second ones a roadrunner third is the crane and the fourth is the pyramid bird,0
can you repeat that,1
got it,0
sailboat pipe arrow vase,0
got it,1
a steamboat hammer bowl upwards and then bowl sideways,0
all right got it ,1
can you repeat that,0
