UTTERANCE,LABEL
good morning,0
hello Joe I have shapes to tell you of first shape to tell you of is a woman laying on her back then there is a running man upside down and there is a running man right side up then there is a running man doing the splits,1
yeah the running man is a little out of style but I got it,0
nah man dont you remember the running man challenge it came back ,0
thats right yeah,1
it was like a whole different running man but still,1
got it,0
okay so I got um the crab and then beneath that its a ram then beneath that its a doggie and its got a head and tail and three legs and then the last one only has three legs and looks like hes lifting one up to pee,1
did you say whores head,1
yes and she has a horse face,1
its excellent form of cubism,0
all right so maybe we did that wrong,1
they do look like theyre kissing its-- its pretty cute,0
all right so i got this secret skeleton key that unlocks this jug but when you open up its a crab and he knows how to drive a speedboat,1
hollywood just keeps on doing the same old story,1
could the third one also be construed as a stork or a pelican,1
all right i think i think i got it i dont know,1
okay so i got the teapot and then the sailboat with the touching triangles and then the triangle square and then the sailboat with in the non touching triangles,1
does the fourth one look like the sombrero hat with nachos,1
were cool then,1
its the lazy bird,0
all right so I have this Russian and he just got promoted to private on his birthday but hes an astronaut so theyre going to put them in a rocket,1
wow thats crazy,1
yeah,1
yep yep,0
dude this thing right here thats happening is literally crazy so theres this guy bending over and hes like hey madame would you like a triangle and she takes the triangle and then realizes that that is not a triangle at all that is a hot pocket and that is disgusting so she runs away but then theres this guy upside down running towards her on the ceiling to take the triangle,1
ok does the third one look like a person,1
a classic story of a bony o in julie cat,0
yeah man {LG},1
yeah yeah missed opportunities,1
got it,1
its not about the size of the triangle its how you use it,1
the premise for the new justice league movie,0
yeah,0
okay I have a hoof print a sailboat a house and then a sideways sailboat,0
is the first sailboat upside down,1
its the second shape too,0
and then third one is a house,0
got it,1
got it,1
got it,0
the tea kettle an iron a mountain and a windmill,0
got it,1
I have a um fox a baseball field the weird animal shape I think its going to the right and then I have like a hand puppet going downward,0
got it,0
swan the crab raptor and flamingo,1
got it,0
I have a rubber duck a flamingo a crab a hummingbird,1
got it,0
I have a ram a anteater a fish then the shark,1
I didnt have a rubber duck a flying bird a dragon as a swan,0
got it,1
got it,0
have a birthday cake a weird sailboat and aero ok the second sailboat or the fur of a birthday cake right side up weird sailboat aero and then sideways two sailed up and down,1
got it,0
got it,1
and the triangle square the rocket ship the weird sailboat and then like the shapes falling off,1
the triangle speedboat  a palm tree and a boat,0
got it,1
I have a house I have a plant in a square box a tepee and an  arrow  going right,0
do you repeat that,0
yeah I have a house I have a plant like thats in a box a tepee and then like chevron going to the right,0
got it,1
its a raptor flying bird a rooster and a swan,1
got it,0
I have a duck a big flying bird a dragon and a crab,1
I have a butler upside down lady with a handkerchief rightside up ready so with a handkerchief on her head is pointing left and then a person running,0
ok so its butler right side up lady sideways lady and then skydiving guy,1
okay got it,1
I have an apple a parallelogram a houseboat and a triangle with cutouts ,0
got it,1
a turtle a cat a bunnie and weird shapes looks like a giraffes head is coming out from the right,0
I got it,0
I have a dog I have okay dog going down or dog going to the left an arrow going upward in the last weird shape,1
does the last one is that they have like a tail its pointing up to the right,0
yeah,0
got it,1
a barn a steamboat a ramp and a weird shape counts like a capital b,0
got it,1
okay the weird terrier thing going to the right a cat in alpaca and then a cat laying down so the second the second picture is a cat standing the fourth picture cat lying down,1
got it,0
the half a christmas tree a steamboat a weird shape and a pot,1
got it,0
a person reading or praying a got a square body guy walking down whereas the ninja kicking upwards and then the arrow head,1
got it,1
I have a crow a loch ness to a peacock and this swan,0
got it,0
I have a three sail sailboat I have like a chair with no leg I have the house with the little chimney and then I havem like a flame,0
got it,1
loch ness looking shape the bird standing up a peacock and brown bird thats flying,1
does the third shape have a triangle foot,0
the second shape as a triangle foot the third shape is looking backwards and its upside down the last one is flying,0
got it,1
I have the person like laying down reading it the dancing salsa lady I have the guy with the triangle body running upward and then the person thats going to the right,1
got it,1
I have upside down boat with the square on it the three sailed sailboat um looks like a shark with a box on head or a plant and then the two sales here,0
so the first one is like a kind of an upside down boat with a block on,0
yeah,1
ok got it,1
okay I have an up sit down loch ness monster a skinny crow a fat crow and a swan,0
got it,1
a flying bird a flamingo pointing its to the right loch ness upside down flamingo,0
what are the first two,0
the first one is a flying the second one is a flamingo pointing it to the right,1
got it,0
I have a baseball field a fish going downward a fish with its mouth open going upward and hten a cat,1
got it,0
I have a house a right side up face the sideways vase and then the plant,1
I have a butler on one foot I have a large man running upward with a like skinny body or like no body then I have the square bodied guy thats going upwards in the model with the weird body,1
I have a shark a loch ness the rocket ship in a ram,1
got it,0
I have a guy laying in a coffin I have the lady with the handkerchief I have the dog person and then the guy with his legs spread apart,1
a ram a dog a giraffe and an airplane,0
