UTTERANCE,LABEL
first ones a  bunny second one is the gazelle looking thing as a triangle is a tail not right corner third one mama going down and the last ones the kangaroo looking one,0
got it,1
alright my first one is the like cave looking thing thats like rotated sideways second one is the arrow third one is the bridge and the fourth one is the letter c,0
I think the buttons stuck just give it a second,1
okay my first one is the rocket ship then the bunny  then the cartoon character looking thing and then the rocket ship a rocket ship flying up is the bottom one flight rocket ship flying down to the top one,0
got it,1
first in is the parallelogram with the two triangles coming out of it I needed on each side second one is the eagle flying down third one is the fox and then the last one is the arrow going down or rocket ship,0
yeah I think I got it,1
right the first one is the house in between the two arrows then the rat then the alpaca or the llama and then the upside down whale,0
got it,1
ok the first one is the fetal position guy a second one upside down man holding a briefcase third one is the upside down man zoomed in wanting a triangle the last one is the kid like running,0
um which one was the guy holding the briefcase,0
the second one hes like upside down hes got a little triangle head,0
okay all right i got it,1
alright my first one is the vulture my second one is the bird with its wings spread and third one is the like upside down abstract word and the fourth one is the upside down turkey,0
got it,1
first one is the boat with the square taken out the second one is the upset a mountain the third one looks like the Eiffel Tower a little and then the last one is the two triangles coming out on the right,0
got iy,1
okay first one is the sideways turkey the second one is the x the third one is the weird triangle thing and then the fourth one is the upside down road runner,0
got it,1
first learn is the line with the two triangles coming out on the left the second ones a triangle third one is the sailboat looking thing then the saw and its got like a rectangle standing up and then the like triangles coming out its weird looking,0
yeah I got it,1
first one is the house with no windows then the vase then the sailboat and then the upside down little steamboat,0
got it,1
first one is the sword looking thing with the triangles in the top left corner and then the second one is the same one but the triangles are in the bottom left third one is a parallelogram and the fourth one is the boat like going up,0
got it,1
first one is the big turkey and then the second one is the regular size turkey and then the third one is the crane and then the fourth one is the bird with its wings spread,0
got it,1
the first one is the bridge with the little shapes taken out of it second one is the boat looking thing with the square taken out of it and then the third one is like the second one but its facing up and then the last one is the apple,0
got it,1
all right my first one is the weird dog looking thing with the two parallelograms on the same diagonal line then the second one is the dog like reeling its head back and its tail is square and the third one is the bunny and on the fourth one is the rat,0
got it,1
the first one is the triangle and square the second one is the iron third one is a christmas tree and the last one is the upside down windmill,0
got it,1
one is the bird with its wings spread the second is the vulture with its head pointing up the second one is the upside down or a third one is the upside down vulture and in the fourth one is the turkey,1
first sign is the house I have a chimney on it third one I mean second one is the triangle and square third one is a sailboat in one is the bird with the parallelogram hanging from the,0
got it,1
alright first when the bunny laying down second and the bunny sitting up a third as the misshapen loch ness monster and the fourth one is the cartoon character,0
got it,1
first one the triangles coming out of the little line on the right second one is the pipe third one is the c and the last ones the triangle with the two rectangle taken out of it,0
got it,1
first one is the giant turkey second is the loch ness monster third is the seal and fourth is the crab,0
got it,1
first one is the I guess crab looking one and then the the second one is the dog with the two parallelogram is coming out the third one is the bunny last ones the rat,0
got it,1
first ones the crab second is the triangle like pyramid beast I dont know what its called the third is the bird with its wings spread and the fourth is the turkey,0
got it,1
the first one is the stingray look looking one second one is the eagle with the two triangles as lean third one is the dog with the two parallel grans in the last there theres a triangle in the bottom left hand corner,0
yeah it kind of looks like a squirrel,0
yeah,0
al right got it,1
