UTTERANCE,LABEL
I checked my check,0
me neither brother so I have this birdie hanging upside down it could be a bad but Im not really sure and then this other one he has a hook like his neck in his head make a hook and its to the right and then I was upside down floaty or this floaty thats upside down and then I have a like a wind up bird that was that copper around cross table,0
is this thing with two humps an animal with two humps um it looks like a really hard level on like mario or something and then a chicken leg and then an animal with two big ears and a square head,0
looks like a really hard like mario level like theres this platform that a ramp and then this trapezoid sticking up to stop you from like jumping over it perhaps like side hop like wall hop to get over,0
hang on hang on I have a query,1
what I got,0
dude,0
I got a yellow a it looks like a giant fish doing a backflip on I got really stuck up animal because its tail and head straight in the air a pin jada and then on the Mario level ten minutes,0
or a think Ive got,1
j t,1
so I have so I have a ninja star with its flying into a box and then I have a dude holding a limbo thing to saying um and then person long jumping upside down person like dancing with the pizza,0
upside down,0
got it,1
so this one the horror movie the guy at the top is running from the killer lady who is slowly walking and will definitely not catch up to or will definitely catch up to and even though the top guys running and then the third guy hes in the ground hes buried with the bird house and then the guy at the bottom is he doesnt know what hes doing,1
correct way,0
gotcha,1
got it,1
ok forty one,0
okay so I have this bird hanging upside down its that bad thing again the dragons like oh shit on not the fucking roost lookin,0
not the king of the roost anymore bro so hes flying up in his bat trying to hit it down while the seal is just showing hes the hes posted not because him and the dragon or friends and then this one is upside down,0
I dont other altogether it hell yeah,1
this sounds tricky,1
a Mexican Native American general that is,1
hang on,1
okay you said as the arrow was pointing at the general at his desk under the sombrero,1
okay so there is a hobo he tried a sleeping in this barn one time but he got kicked out because the farmer a came in to feed his pigs one morning and he saw him laying there in the hay so hes like hey get out of my barn go end up being boat the sailboats the guys started sailing around the world already found found an olympic torch in rio de janeiro and after he found this lit the torch she ran all the way to the gift shop and bought a lamp in the lamp shade was a box,0
do it makes sense in my head but once I realize it doesnt make sense at all the the the third one was like running down I should have said that running down to the barn thats my bad,1
I said ok got it,0
didnt need a a doritos sandwich and thats why she was sick,1
so Ive got a ninja star oh hang on hang on hang on,0
okay it got a ninja star with a in the arm the dude through the ninja star and then theres a seal that was watching with a rubber duck can you just get out of the bath tub,0
I guess a sitting fox a crab a giraffe and a rabbit,1
gotcha,0
I got a guy tipping his hat the lady with the handkerchief sideways weird shape with the square and the handkerchief lady,1
got it,0
I got the seal tug boat a lamp for a shark with a box on his head and a hammer,0
got it,0
okay got a hummingbird a flamingo flying bird and raptor,1
I have the windmill double arrows the sailboat and the sailboat with two sales I think you guys call it the nacho bowl,1
got it,1
I have the person with the huge triangle boob the person with weird shapes kinda looks like hes holding a box a person sliding up and person walking out with a triangle body,1
got it,1
I have the hoof print the fire hydrant the hammer and the plant,0
sorry I zoned out could you repeat those,0
Im not going to get this query Im ignoring it  um I have the rooster the flamingo the flying bird and super shredder,1
got it,1
the dude kicking the ball or girl I dont know we dont know um the dude carrying pizza the salsa dancer and the person tumbling,1
I just fucked up our hundred percent,1
I have a duck pointing up a flying bird an upside down duck and a flying bird flying left,0
like the big bird or just like a big bird,0
got it,0
I got a dragon a peacock turkey a crab and a crow,0
got a handkerchief lady tumbling person birdhouse head and pizza guy,0
got it,1
Ive got a square bodied person like a dragon head with a feather on his forehead a person sitting on one box and doing something on the other box with his hands and the person or the triangle body,1
got it,1
i have a person with their head is like the top right corner a person with a huge triangle boob person with a birdhouse head and person and push ups with one leg in the air,0
got it,1
oh I have a bear a rabbit a camel and a chipmunk,0
I have a speed sorry shit,1
Im dead bruh,0
is the bridge first or second,0
called it,1
I have somebody carrying a box a waiter a push up dude and a tumbling person,0
got that thing,1
I have a house a apple an apple sorry a palm tree and the notches around the sombrero,0
did you hear that,1
okay I have a pinata a uh dog with its head cut off a crab and slicers arm,1
I wouldnt feel bad at all Id laugh,0
but that would be fucking hilarious,1
got it,1
ok so I have the birthday cake the boat the tetris and the hat with the nachos,0
got it,1
hummingbird loch ness flying bird rubber duck,0
got it,1
I have the flamingo the flying bird the rooster or cock and the um shredders arm I remember his name shredder,0
got you,1
were watching the whole thing going down I got it,0
flying bird the duck is facing up and then a duck facing  left and then a flying bird the smaller flying bird,1
sorry could you repeat those ,0
ouch got it,1
hang on,0
I got it,1
point charlie,0
I have a person falling in their head is pointing to the left cause its an arrow the handkerchief lady tumbling person with the square head and JT hitler,0
got you,1
and I got that,0
the birdhouse head huge triangle boobed person jt god damn it,1
the triangle boobed person the push up person and the running person to the right,0
a chipmunk a rabbit a camel and a bear,1
is the house below right side up,0
dope got it,1
what the heck got it,1
I have an apple a hat with two doritos attacking it a barn and a palm tree but I think it looks like a fan I dont think it looks like a palm tree,0
a,1
got it,1
crab shredder piniata and headless dog,0
the doritos attacking the hat,0
doritos attacking the hat the the tugboat the tetris and the cake,0
got it,1
I have the flying bird its flying down Ive got the rubber duck I also had the hummingbird right after that and I got that loch ness monster coming in last bro,0
got it,1
Im messing up,1
does picassos wait what okay could you okay so first dog does it look like a robot dog,1
ok let me switch these two,0
so the dog thats last his two try legs are pointing to the bottom right,0
got it,1
got a chicken drumstick a chipmunk picassos dog and an aardvark or the headless dog,0
got it,1
got a teepee with two doors  the chip bowl with two doritos sticking out the bridge and the milk jug,0
got it,0
got it,1
a dog with a box now facing left the dog facing down a crab in the square on its hind legs,0
got it,0
a tea kettle an iron mountain and the indian,1
oh I have a dog with like a weird tail or head Im not sure which one fox a stingray and a hand puppet,0
got it,0
a duck a bird a crab and a flamingo,1
okay can you repeat those please,0
is the third thing could also be like a fish is like an arrow pointing down on most of the triangle tale,0
ok I think I got it,0
I have a swan a dragon a duck and a flying bird,1
got it,0
an arrow a boat thats sideways a birthday cake and a right side up sailboat,1
got it,1
the torch a sailboat Abraham Lincoln triangle and square,0
can you repeat those please,0
got it,1
I have a chevron a shark with a box on its head a triangle with a shaped cut out and the house with the tree,0
did you say chicken duck flying bird,1
got it,1
I have a duck a crab a dragon and a flying bird,1
got it,1
I have an apple a teepee with two doors a tugboat and a parallelogram,0
turtle a fox sorry I dont think its my turn a turtle fox a rabbit and then a dog,1
