UTTERANCE,LABEL
okay i have a friend a sailboat a house and then a leg up and down till,0
got,1
that took forever okay ive got a right set up dog a sideways dog a crab and a squirrel,1
I have a houseboat a sailboat a windmill and then arrows,0
got it,1
ive got a kettle and iron a mountain and a windmill,0
got it,1
I have a fox a baseball field a weird animal looks like its going to the right and then I have a hand puppet,0
got it,1
ive got a duck with the two feet a crab a bird with a tail and a flamingo,0
done,1
i have a rubber duck a flamingo crab and a hummingbird,0
got it,1
Ive got a ram an ant eater a fish swimming down fish swimming up with a mouth open,1
have a rubber duck a flying bird a dragon and a swan,0
got it,1
Ive got a bunny a dog a whale and a ram,0
got it,1
a birthday cake a sailboat with like a weird sail an arrow and then an up and down sailboat,0
got it,1
got a mountain hold on,0
okay Ive got a mountain the triangle square abraham lincoln and the m,0
got it,0
damn things frozen,1
i have the avalanche of shapes the triangle square the rocket ship and the weird symbol,0
got it,1
got a triangle a speed boat a palm tree and a vertical sailboat,0
got it,1
i have a house a martian dude the m and an arrow to the right,0
got it,1
got bird with a tail flying bird a rooster and a duck,0
got it,1
have a rubber rubber duck flying bird dragon crab,0
got it,1
Ive got an upside down server rightside up lady with a handkerchief sideways lady with a handkerchief and then the falling lady,0
got it,1
apple parallelogram houseboat triangle with cutouts,0
got it,1
i got a turtle sitting cat a bunny and then the sideways dog,1
i have a dog going downward on a dog going to the left in arrow upward and then a weird shape,0
dog going down dog going to the left arrow weird shape,0
i think i got it,1
ive got half a stop sign the giant boat ramp and then the letter b,1
have a terrier going to the right a cat and alpaca and then the cat laying down,0
got it,1
got half a christmas tree the big boat the eraser shaped thing and then a vase,1
i have a guy reading a book or a square body guy the ninja kicking upwards and then the triangle,0
got it,1
Ive got a fat crow upside down Loch Ness monster a turkey vulture thing and then a duck with two feet,0
got it,1
i have a sailboat tetris um a house turned on its side and then like a parallelogram in a trapezoid,0
got it,1
upside down Loch Ness monster bird with a tail flamingo flying bird,1
i have like the big blurry shape and almost looks like that holding a pizza a guy reading a book its also the salsa lady and triangle body,0
got it,1
i got the upside down boat with the box sideways sailboat with three sails russian guy sideways boat with two sails,0
got it,1
I have a Loch Ness monster skinny crow fat crow swan,0
got it,1
Ive got a flying bird a flamingo a Loch Ness monster and upside down flamingo,0
got it,1
baseball field fish going down fish going up cat laying down,0
got it,1
ive got the house upside down bowl sideways bowl russian,0
got it,1
i have a guy on one foot with a triangle the guy running upward thats got a big body the square body and the model walking upward,0
got it,1
got a fish swimming up loch ness monster fish swimming down ram,0
got it,1
splits guy coffin guy lady with the handkerchief dog guy,0
got it,1
Ive got a ram this weird thing with his tail like straight up giraffe and then a parallelogram with three triangles,0
got it,1
i have a blurry guy holding a pizza again the splits guy the model in the fetal position,0
got it,1
lady with a handkerchief pizza guy model upside down server,0
got it,1
triangle square hammer unfinished desk weird house,0
got it,1
Ive got a ram a squirrel a bunny and an alpaca,0
got it,1
my bad my bad ram fish going downward dog and then weird little animal,0
got it we were so close,1
upside down sailboat the letter c diamond speedboat,0
got it oh wait-- wait say one more time,0
upside down sailboat letter c diamond speedboat,0
okay got it,1
i haveupside down windmill sideways windmill hammer triangles,0
got it,1
ive got a hummingbird a crow flying bird flamingo,0
got it,1
rocket ships sailboat avalanche of shapes triangles,0
got it,1
the sailboat sideways thing with two triangles sticking out of it eiffel tower house,0
got it,1
a hummingbird loch ness monster flamingo flamingo looking back,0
got it,1
okay Ive got the cave thing a fancy vase an apple and a giant boat,0
got it,1
ok I have a bunny I have an animal with a parallelogram tail on the right the animals going to the left and its like kind of on two feet then I have an animal going to the right its got like a rectangle head and then I have an animal that has like two pointy legs,0
got it,1
okay Ive got this like sailboat with one sail kind of looks like a windsurfing board Ive got Tetris sideways house then a normal sailboat,0
got it,1
okay I got guy got a really long arm the guy holding a triangle the dog guy and the bike guy,0
got it,0
ok I have a house a hammer Abraham Lincoln and a tetris thing,0
got it,1
Ive got a pipe scissors slanted square half a christmas tree,0
could you say that again I couldnt hear you,0
yeah I got a pipe scissors slanted square half a christmas tree,0
okay got it,1
okay I have Abraham Lincoln hammer um a house with a chimney and then a house like on a hill like with the flat roof,0
got it,1
I have a flamingo a dragon and then the bird with a tail and then the flying bird whos flying down,0
got it,1
okay I have the loch ness monster thats like right side up and upside down loch ness monster big flying bird and then a sparrow,0
got it er let me unspeak damnit,1
alright Ive got a flamingo a seal a flying bird and a crow,0
got it,1
christmas tree house birthday cake windmill,0
got it,1
fetal position splits weird ass shape guy reading a book,1
flamingo upside down but it has like a weird wing coming out of it like triangle wing going to the right rubber duck then a flamingo with like a full triangle foot and then the loch ness monster,0
got it,1
right Ive got big triangle arm guy lady like kneeling and praying or something a person doing the splits guy with a square chest,0
got it,1
speed boats sailboats cave thats like circular kinda looks like a c and then like a yacht or another cave,1
um boat letter c bridge pipe,0
I got it,1
guy running to the right guys splits guy weird shape and then big triangle body guy,0
got it,1
boat eraser batman mask tree,1
okay this big sparrow bird thats going downward and then the sparrow going to the left and then flying duck,0
got it,1
Abraham Lincoln hammer Native American avalanche,0
got it,1
okay a guy holding a pizza its kind of blurry picture race car guy going upward than the somersault guy and then the guy reading a book,0
got it,1
yacht half apple half christmas tree half apple,0
got it,1
pot christmas tree letter b sailboat,0
got it,1
brewster dragon duck loch ness,0
got it,1
um flamingo chicken with a long tail flying bird hummingbird,0
got it,1
speedboat stop sign palm tree scissors,0
got it,1
swan crow hummingbird thats going to the bottom right corner hummingbird going to the top right corner,0
got it,0
did you hit done,0
yeah I was answering a query,1
avalanche birthday cake triangle square house,0
got it,1
seal candlestick houseboat house,0
got it,1
bunny fox giraffe crab,0
got it,1
crow flamingo seal to the left seal down,0
got it,1
a woman with a handkerchief facing down weird crab shaped thing handkerchief to the left guy tipping his hat,0
got it,1
fat crow flamingo looking back duck flamingo looking back but its going upwards the second shape is completely upside down flamingo,0
got it,1
Russian seal house houseboat hammer,0
got it,1
giraffe whale slash tornado turtle loch ness monster,0
sorry I didnt get that,0
a giraffe oil turtle loch ness monster,0
got it,1
a bird flying down hummingbird bird with a tail flamingo,0
got it,1
sorry I have an arrow going up a rocket ship going to the right um a ram and then it kinda looks like a dog,0
got it and god bless you,1
Ive got a big sailboat sailboat with two sails Native American double arrow,1
loch ness monster flamingo flamingo looking back seal,0
got it,1
big arm guy go kart guy weird blurry thing guy running up,0
got it,1
sailboat upside down boat with cargo flame thats sideways flame thats like straight up and down,0
got it,1
a thread spool hammer  russian hoofprint,0
got it,1
camel bunny loch ness monster two triangles on top of each other,0
got it,1
flamingo flying bird rooster loch ness,0
got it,1
rubber duck chicken with a long tail flamingo looking back crab,1
