UTTERANCE,LABEL
can you hear me,0
got it,1
ok I like the normal dog thats facing down and then the dog with-- on its hind legs with like a triangle for the front legs and then I have the x and then I have the dog with the square snout,1
got it,1
ok I have the semi colon and then the upside down windmill and the iron and the upside down mountain,1
got it,1
ok I have the sideways flamingo then the dinosaur the goose with two triangle feet and the x,0
got it,1
okay I have like the squirrel and then the fish the arrow and,0
got it,1
ok I have the dog the bunny the like cat and then the whale,0
got it,1
okay the upside down mountain the square and triangle the pyramid with the two triangles cut out and then the top hat,0
got it,1
ok I have the palm tree the triangle the yacht and the sailboat,0
got it,1
ok I have the upside down dinosaur the duck with two feet the turkey and the rooster,0
got it,1
got it,0
I pressed done,1
ok I have the fox first then the bunny then the turtle and then the funny dog,0
got it,1
ok I have the barn then the slope the letter b and then the boat,0
got it,1
okay I have half a christmas tree um the boat the vase and then the other shape,1
okay got it,1
got it,1
ok I have the guy crouching the rectangle body holding a triangle the woman in the dress and the guy with the triangle body,0
got it,1
okay i have the skinny crow then the fat crow and then the swan and then the other strange shape,0
got it,0
I pressed done,1
got it,1
ok I have the upright vase the square with the pointy things coming out the sideways face and then the house with a chimney,0
ok I have the arrow the yacht the pipe and then the other shape,0
got it,1
I have the arrow the yacht the stripe with the dots and the bowl with a triangle,0
I havethe arrow pointing left and the yacht,1
the last two is the little kid running and the big guy running,0
got it,1
okay I have the boot the cliff the picture frame and the house with the chimney,1
got it,1
oh just a second,0
okay I have the pipe the rectangle with a slice cut off the diamond thing and the apple,0
got it,1
okay I have the deer print the upright sailboat the windmill and the sideways sailboat,0
got it,1
okay I have half of the christmas tree the sailboat the arrow and triangles and then like the crab or whatever,0
got it,1
okay I have the upright sailboat um and then the other sailboat with two sails that are facing the same way and the step and then the sideways sailboat,0
got it,1
I have the turkey the road runner um crow and swan,1
got it,1
okay I have the hammer um thats facing left the upside down hammer the parallelogram and trapezoid and the comma or semi colon let me know if you need me to repeat it,0
thats right,1
got it,0
okay i have the i have the arrow pointing left and the mountain with a tunnel the apple and the letter c,0
got it,1
got it,1
ok I have the guy crouching then the square body guy um the guy bending over with the with the triangle and then the person in the dress,0
got it,1
okay I have the upside down goose with two feet the rooster the upside down crane and the vulture,0
okay I have the seal the upside down turkey the regular turkey and then the bigger turkey,1
done,1
okay I have the upside down sailboat the upside down regular boat and then the picture frame and the pyramid with a cut out,0
okay um I have the boat with a house on it the stripe with the dots the key and the apple,0
got it,1
okay I have the dog on its hind legs the prancing dog the rocket and the arrow pointing down,0
got it,1
did you say the regular dog was first,0
okay I have the fetal position the arrow the guy bending over and the guy doing the splits,0
got it,1
I have the roadrunner the turkey the bird and the seal,0
got it,0
can you hear me,0
okay my first ones the palm tree then the trapezoid then the base and then the key,0
got it,1
okay my first one is the dog with the big block head and then the dog with two flat feet on the ground and a square tail and the dog with a three feet the front one is like a triangle and then theres a funny abstract shape,0
got it,1
got it,1
okay I have the arrow pointing left then the boat with the house on it the saw and the bridge,0
got it,1
I have this stingray then the llama then the upright dog and then the dog pointing down,0
got it,1
okay I have the yacht then the barn then the pyramid with two cut outs and then the letter b,0
got it,1
okay I have just a second,0
okay got it,1
okay I have a camel and then the dog then the fish and the cat,1
got it,1
ok have the shark guy then the lady in the dress then the guy bending over holding a triangle and then the woman in like a bustle dress from the side holding a triangle,0
got it,1
got it,1
ok I have the guy with the square body then the arrow then the guy with the triangle body and the woman in the dress,0
got it,1
got it,1
ok I have the guy with the square body and then the guy kneeling down holding a book the guy laying down and then the one holding a tray,0
got it,1
k I have the letter b than the arrow then the apple and the yacht,0
got it,1
okay I have the boat with the like chimney coming out it it then the letter c then the yacht and then the palm tree,0
got it,1
okay I have the guy with the square body then the arrow then the guy bending down holding a triangle and then the big figure with a square,0
and what are the first two,0
got it,1
okay my first ones the rewind and then the square with the pointy things the boot and the sailboat,0
got it,1
okay I have the turkey the flamingo the roadrunner and the upside down vulture,1
got it,1
um where did you say the vulture was,0
okay got it,1
okay I have the seal then the parallelogram and trapezoid the house with the chimney and the upside down mountain,0
got it,0
ok my first one is the bird and then this sideways sailboat and then the string of triangles and then the other thing,0
okay um my first one is the x with the smaller things on the right and then the x with the smaller things on the bottom and then the dog with the square snout and the birds are yeah the bird flying down,0
got it,1
got it,1
ok I have the dog like on its hind legs and then the loch ness monster and then the fox laying down and then the shark,0
got it,1
okay I have the vase then the arrow pointing left then the crab and then the other shape,0
got it,1
ok I have this sailboat the palm tree the boat with a house and then the barn,0
got it,1
I have the arrow and then the house the thumb tack and the other shape,0
did you say your first one is the camel and then the llama,0
got it,1
okay I have that um cat with like and then the block and then the regular cat and then the funny shape with two triangles for the front feet,0
got it,1
got it,1
ok I have the parallelogram then the half a christmas tree the boat with the triangle and then the other blob,1
got it,1
okay have the crow then the x then the upside down flamingo and the sideways flamingo,0
got it,1
I have the um arrow pointing up the x the arrows pointing down and then the strange shape,0
I have the turkey with its head up then the duck the turkey with its head down and then the duck with two legs,0
got it,1
yeah,1
I have the pipe then the tree then the sailboat and the sideways mountain with a tunnel,0
and the pipe is last you said,0
ok got it,1
got it,1
okay I have the guy kicking the guy upside down the woman in the bustle dress and then the fetal position,0
yeah those are the second and third,0
I have the guy kicking um facing up first and then the guy upside down holding a triangle and the lady in the dress and then the fetal position,0
got it,1
I have the dog then the turtle then the x and then the block,0
got it,1
got it,1
ok I have seal the turkey with its head up then the duck and the turkey with its head to the right,0
got it,0
can you hear me,0
ok my first one is the upside down flamingo and then the upside down vulture and then um theres this kind of funny shape and and and what looks kind of like a turkey,0
alright my first run is a tree and then some sort of like house with a chimney and then um a birthday cake and then the upside down windmill,0
okay I got it,1
ok um the top one is like the beak pointing left and then the second one the beak is like pointing up,0
okay I got,1
okay my first one looks like a  guy kind of walking um and he has this like huge triangle body and then my second one is the guy running upside down and then theres the guy with the square body and then just a funny shape,0
ok I got it,1
ok my first one looks kind of like a boat with something coming out of it um and my second one is the bridge and then the c and then the pipe,0
okay got it,1
okay my first ones the letter b and then um a square with like two slices cut off and then my third one looks kind of like a boat and with a couple of sails on it and then the fourth one is the tree,0
okay I got it,1
got it,1
ok my first one looks almost like a monk or something like holding something and then the second one is the drag racer rotated to the left and then the guy doing the front flip and then the guy holding a martini,0
yeah,0
got it,1
ok my first ones the vase and then the tree and the letter b and then the sailboat,0
got it,1
okay I have like the flying bird thats upside down and then the upside down flamingo and then the dinosaur and then the turkey,0
the first one is the flying bird um with its head um down and I like two triangle wings and then the second one is the flamingo and then the raptor dinosaur and then the turkey,0
okay my first one is the barn and then like the butterfly or letter x and then the yacht and then the palm tree,0
I got it,0
got it,1
okay i have the vulture than the flying bird with a triangle wings and then the um the other flying bird thats rotated to the left and then the turkey,0
got it,1
okay i have the turkey then the x then the pyramid bird thing and then the upside down dinosaur,0
got it,1
okay i have the house with the chimney this sideways face the upright boat and the upside down boat,0
got it,1
okay i have the big turkey the little turkey the sideways flamingo and the flying bird,0
got it,1
okay i have like the strange animal the cat head and then the dog with the square tail the bunny and the mouse,0
um its the one with like two pointy feet that are like facing the left and then like there is it like it has two cat ears sort of upside down,0
got it,1
i got the triangle the bird with the dangly things the sideways house and the sideways sailboat,0
got it,1
okay i have the sailboat the letter c the pyramid and the pipe,0
got it,1
got it,1
got it,1
okay have like the squirrel and then the stingray then the bird flying down and then the funny cat thing,0
got it,1
okay i have the boat with a little triangle the yacht then the arrow and a bunch of triangles and then the pyramid on its side,0
got it,1
